#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
27.08442,-41.4954,-41 29 43.4,01 48 20.261,11112.0,0.004,0.014,81.3,60.3,267.4918,-71.4932,0000000100000000000000
342.54504,-41.4895,-41 29 22.2,22 50 10.813,216054.0,0.032,0.022,43.1,19.0,354.9939,-61.3538,0000000100000000000000
269.9202,-41.487,-41 29 13.2,17 59 40.848,163745.0,0.53,0.1,169.2,5.4,350.5576,-8.7883,0000000000000100000000
16.94926,-41.4869,-41 29 12.8,01 07 47.824,6767.0,0.008,0.007,47.7,23.6,290.815,-75.2542,0000000100000000000000
345.99847,-41.479,-41 28 44.4,23 03 59.630,217842.0,0.04,0.035,22.9,23.6,352.8649,-63.7477,0000000000001000000000
267.4454,-41.4423,-41 26 32.3,17 49 46.898,161841.0,0.82,0.1,4.0,3.5,349.678,-7.1505,0000000000000100000000
253.64915,-41.423,-41 25 22.8,16 54 35.798,152333.0,1.09,0.1,27.0,2.6,343.8273,1.3749,0000000000000100000000
340.87485,-41.4141,-41 24 50.8,22 43 29.968,215104.0,0.027,0.008,123.4,8.4,355.9935,-60.1986,0000000100000000000000
126.88183,-41.4134,-41 24 48.2,08 27 31.640,0.0,0.52,0.1,60.9,5.5,259.6723,-1.714,0000000000000100000000
253.2499,-41.4075,-41 24 27.0,16 52 59.977,152060.0,0.73,0.1,22.5,3.9,343.6502,1.6168,0000000000000100000000
316.60623,-41.3859,-41 23 09.2,21 06 25.499,200702.0,0.11,0.035,150.0,9.0,0.3728,-42.2531,0000000000001000000000
333.6592,-41.3797,-41 22 46.9,22 14 38.209,210918.0,0.016,0.012,94.9,20.6,358.6587,-54.978,0000000100000000000000
333.9037,-41.3467,-41 20 48.1,22 15 36.886,211088.0,0.011,0.005,99.4,12.8,358.6512,-55.1644,0000000100000000000000
253.4228,-41.3278,-41 19 40.1,16 53 41.474,152182.0,0.71,0.1,25.9,4.0,343.7941,1.5667,0000000000000100000000
263.66858,-41.3241,-41 19 26.8,17 34 40.458,159110.0,1.18,0.1,6.6,2.4,348.2983,-4.6686,0000000000000100000000
261.89853,-41.3116,-41 18 41.8,17 27 35.647,157846.0,1.08,0.1,21.6,2.7,347.5817,-3.5477,0000000000000100000000
131.16805,-41.2772,-41 16 37.9,08 44 40.330,74804.0,2.3,0.1,2.4,1.2,261.4995,0.9379,0000000000000100000000
253.4737,-41.255,-41 15 18.0,16 53 53.686,152217.0,0.98,0.1,33.7,2.9,343.8747,1.583,0000000000000100000000
182.22748,-41.2315,-41 13 53.4,12 08 54.596,105521.0,0.31,0.035,29.6,3.2,294.3886,20.9336,0000000000001000000000
252.8905,-41.2305,-41 13 49.8,16 51 33.721,151804.0,1.06,0.1,46.0,2.7,343.6157,1.9378,0000000000000000000001
349.2077,-41.1944,-41 11 39.8,23 16 49.850,219531.0,0.09,0.035,27.1,11.0,350.9263,-66.0305,0000000000001000000000
211.51161,-41.1795,-41 10 46.2,14 06 02.786,122980.0,0.03,0.035,156.7,30.3,317.7306,19.5383,0000000000001000000000
323.0244,-41.1793,-41 10 45.5,21 32 05.860,204783.0,0.12,0.035,141.8,8.3,0.5595,-47.0776,0000000000001000000000
254.18858,-41.1544,-41 09 15.8,16 56 45.262,152685.0,1.12,0.1,17.6,2.6,344.2908,1.2275,0000000000000100000000
253.74376,-41.1508,-41 09 02.9,16 54 58.504,152408.0,0.824,0.029,41.8,1.0,344.0837,1.4908,0000000000000000100001
251.96085,-41.1416,-41 08 29.8,16 47 50.604,151212.0,1.17,0.1,27.9,2.4,343.2355,2.532,0000000000000100000000
25.51221,-41.118,-41 07 04.8,01 42 02.930,10560.0,0.22,0.06,148.7,7.8,269.5138,-72.5648,0000000000001000000000
359.304,-41.1088,-41 06 31.7,23 57 12.960,0.0,0.1,0.119,48.7,30.8,338.0441,-72.1194,0000000100000000000000
348.7439,-41.1051,-41 06 18.4,23 14 58.535,219263.0,0.02,0.035,0.2,41.2,351.5216,-65.7644,0000000000001000000000
253.52208,-41.0794,-41 04 45.8,16 54 05.299,152246.0,1.58,0.1,44.5,1.8,344.034,1.6655,0000000000000100000000
133.8581,-41.0788,-41 04 43.7,08 55 25.943,76554.0,2.22,0.1,84.0,1.3,262.6291,2.6302,0000000000000100000000
253.59924,-41.0295,-41 01 46.2,16 54 23.818,152292.0,1.25,0.1,38.8,2.3,344.1094,1.6517,0000000000000100000000
253.98003,-41.0251,-41 01 30.4,16 55 55.207,152560.0,0.61,0.1,32.3,4.7,344.2934,1.431,0000000000000100000000
260.13272,-41.0131,-41 00 47.2,17 20 31.852,323242.0,4.25,0.1,43.2,0.7,347.0808,-2.2804,0000000000000100000000
239.455,-40.9971,-40 59 49.6,15 57 49.201,142754.0,2.88,0.1,26.4,1.0,336.692,9.3477,0000000000000100000000
253.56915,-40.9831,-40 58 59.2,16 54 16.600,152268.0,1.41,0.1,37.4,2.0,344.1312,1.6986,0000000000000100000000
266.98853,-40.9828,-40 58 58.1,17 47 57.250,161531.0,1.55,0.1,10.9,1.8,349.9028,-6.6219,0000000000000100000000
41.3535,-40.955,-40 57 18.0,02 45 24.840,0.0,0.428,0.166,111.4,11.0,250.8537,-62.8235,0000000100000000000000
315.45862,-40.9311,-40 55 52.0,21 01 50.070,199963.0,0.38,0.08,156.2,6.0,0.9473,-41.3756,0000000000001000000000
255.69334,-40.9126,-40 54 45.4,17 02 46.403,153677.0,0.16,0.1,98.6,17.4,345.1821,0.4841,0000000000000100000000
266.85168,-40.8896,-40 53 22.6,17 47 24.407,324327.0,1.73,0.1,10.8,1.7,349.9307,-6.4855,0000000000000100000000
130.25479,-40.8835,-40 53 00.6,08 41 01.151,0.0,1.57,0.1,91.0,1.8,260.7648,0.6391,0000000000000100000000
259.16238,-40.8662,-40 51 58.3,17 16 38.971,155959.0,2.5,0.1,28.7,1.1,346.7797,-1.596,0000000000000100000000
266.77505,-40.8593,-40 51 33.5,17 47 06.014,161378.0,1.37,0.1,2.9,2.1,349.9273,-6.4202,0000000000000100000000
122.487,-40.831,-40 49 51.6,08 09 56.880,0.0,0.79,0.1,103.9,3.6,257.3274,-4.1252,0000000000000100000000
254.1499,-40.8234,-40 49 24.2,16 56 35.977,152667.0,0.33,0.0,64.9,0.0,344.5311,1.457,0000000000000100100000
266.40964,-40.7998,-40 47 59.3,17 45 38.315,161141.0,2.08,0.1,10.1,1.4,349.8366,-6.1521,0000000000000100000000
229.73495,-40.7881,-40 47 17.2,15 18 56.390,135876.0,0.08,0.035,46.3,12.3,330.8465,13.9545,0000000000001000000000
253.98012,-40.7796,-40 46 46.6,16 55 55.229,152559.0,1.32,0.1,39.7,2.2,344.4848,1.5847,0000000000000100000000
253.71,-40.759,-40 45 32.4,16 54 50.404,322277.0,1.03,0.1,37.4,2.8,344.3725,1.7569,0000000000000100000000
30.13245,-40.7302,-40 43 48.7,02 00 31.788,12387.0,0.062,0.017,51.1,7.8,261.03,-70.3112,0000000100000000000000
263.4889,-40.725,-40 43 30.0,17 33 57.337,323815.0,3.1,0.1,12.7,0.9,348.7314,-4.2318,0000000000000100000000
117.30963,-40.701,-40 42 03.6,07 49 14.311,63868.0,0.13,0.1,55.2,21.0,255.173,-7.4108,0000000000000100000000
248.56212,-40.6848,-40 41 05.3,16 34 14.909,325691.0,3.15,0.1,14.0,0.9,341.8808,4.7629,0000000000000100000000
254.00952,-40.6729,-40 40 22.4,16 56 02.285,152591.0,0.98,0.1,35.4,2.9,344.582,1.6341,0000000000000100000000
128.88101,-40.6719,-40 40 18.8,08 35 31.441,0.0,1.76,0.1,176.9,1.6,259.9657,-0.0597,0000000000000100000000
290.97147,-40.6156,-40 36 56.2,19 23 53.153,181869.0,0.01,0.035,75.9,60.3,357.7116,-23.0895,0000000000001000000000
131.44753,-40.6155,-40 36 55.8,08 45 47.405,74979.0,2.14,0.1,72.9,1.3,261.1129,1.515,0000000000000100000000
